layer,feature,llm_label,domain_activation,general_activation,specialization,specialization_conf,activation_conf,consistency_conf
16,133,Earnings Reports Rate Changes Announcements,96.72921752929688,116.28904724121094,19.559829711914062,195.59829711914062,193.45843505859375,16.635997942034496
16,162,Major figures,48.20322799682617,57.77898025512695,9.575752258300781,95.75752258300781,96.40645599365234,16.68538551008744
16,203,Record performance revenue reports,40.656768798828125,49.507328033447266,8.85055923461914,88.5055923461914,81.31353759765625,16.424545784963517
16,66,performance metrics updates,19.766021728515625,24.516963958740234,4.750942230224609,47.509422302246094,39.53204345703125,16.124363328004232
16,214,Economic indicators performance updates,22.261260986328125,26.915985107421875,4.65472412109375,46.5472412109375,44.52252197265625,16.54129387981401
16,340,Asset class diversification yieldspread,22.772247314453125,27.10515785217285,4.332910537719727,43.329105377197266,45.54449462890625,16.80288854147191
16,105,Private Equity Venture Capital Funding High-Net-Worth Investment Opportunities Tax-Free,18.526084899902344,22.618623733520508,4.092538833618164,40.92538833618164,37.05216979980469,16.38126626815665
16,267,Foreign exchange volatility policy impacts Commodity price fluctuations due,16.672998428344727,19.944507598876953,3.2715091705322266,32.715091705322266,33.34599685668945,16.719388378666775
16,332,Sophisticated trading strategies performance metrics,15.35811710357666,18.614715576171875,3.256598472595215,32.56598472595215,30.71623420715332,16.501049442018992
16,181,Innovative fintech solutions asset,13.775745391845703,16.97043800354004,3.194692611694336,31.94692611694336,27.551490783691406,16.23499097545046
